202.43.8.0/21 #AS38198 DIGICELNET-TO Digicel Tonga Ltd., TO
103.36.146.0/24 #AS132831 TOKOWIRELESSLTD-AS-AP TokoWireless Limited, TO
103.54.78.0/23 #AS132831 TOKOWIRELESSLTD-AS-AP TokoWireless Limited, TO
103.124.187.0/24 #AS132831 TOKOWIRELESSLTD-AS-AP TokoWireless Limited, TO
103.134.118.0/23 #AS132831 TOKOWIRELESSLTD-AS-AP TokoWireless Limited, TO
103.242.126.0/23 #AS132831 TOKOWIRELESSLTD-AS-AP TokoWireless Limited, TO
43.255.148.0/22 #AS38201 KALIANET-PUBLIC-AS-AP Tonga Communications Corporation, TO
103.239.160.0/24 #AS38201 KALIANET-PUBLIC-AS-AP Tonga Communications Corporation, TO
103.239.162.0/23 #AS38201 KALIANET-PUBLIC-AS-AP Tonga Communications Corporation, TO
175.176.144.0/22 #AS38201 KALIANET-PUBLIC-AS-AP Tonga Communications Corporation, TO
202.134.24.0/21 #AS38201 KALIANET-PUBLIC-AS-AP Tonga Communications Corporation, TO
103.245.160.0/23 #AS132579 TONGACABLELIMITED-AS-AP Tonga Cable Limited, TO
103.245.162.0/24 #AS132579 TONGACABLELIMITED-AS-AP Tonga Cable Limited, TO
